City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
109,Vila Franca Do Campo,PT,2022-03-06 22:15:37,37.7167,-25.4333,63.19,85,99,13.53
110,Ilebo,CD,2022-03-06 22:15:38,-4.3167,20.5833,71.96,97,100,1.66
111,Griffith,US,2022-03-06 22:11:32,41.5284,-87.4237,45.1,69,0,13.8
112,Zalantun,CN,2022-03-06 22:15:42,48.0,122.7167,12.2,89,99,3.94
113,Chokurdakh,RU,2022-03-06 22:15:43,70.6333,147.9167,-27.71,100,91,2.82
114,Chuy,UY,2022-03-06 22:15:43,-33.6971,-53.4616,71.46,86,100,7.65
115,Sartell,US,2022-03-06 22:15:45,45.6216,-94.2069,31.44,69,100,16.11
116,Qaqortoq,GL,2022-03-06 22:15:46,60.7167,-46.0333,19.9,96,100,2.44
117,Sambava,MG,2022-03-06 22:15:47,-14.2667,50.1667,75.16,91,100,3.42
118,Koroni,GR,2022-03-06 22:15:48,36.8,21.95,49.06,69,43,10.2
119,Hermanus,ZA,2022-03-06 22:15:48,-34.4187,19.2345,69.8,88,55,6.33
120,Port Blair,IN,2022-03-06 22:15:49,11.6667,92.75,75.24,88,40,1.14
121,Kaitangata,NZ,2022-03-06 22:15:50,-46.2817,169.8464,52.63,72,100,8.7
122,Verkh-Usugli,RU,2022-03-06 22:15:51,52.7,115.1667,2.61,99,98,1.83
123,Fairlie,GB,2022-03-06 22:15:53,55.756,-4.8556,35.85,78,39,5.7
124,Porto Novo,BJ,2022-03-06 22:15:53,6.4965,2.6036,81.61,77,91,6.29
125,Arraial Do Cabo,BR,2022-03-06 22:12:49,-22.9661,-42.0278,76.86,83,0,14.97
126,Poya,NC,2022-03-06 22:15:54,-21.35,165.15,81.81,69,66,1.9
127,Jiamusi,CN,2022-03-06 22:15:55,46.8333,130.35,5.36,94,53,6.24
128,Wanning,CN,2022-03-06 22:15:55,18.8003,110.3967,72.79,86,100,5.82
129,Atambua,ID,2022-03-06 22:15:58,-9.1061,124.8925,73.13,84,100,2.98
130,Flinders,AU,2022-03-06 22:15:58,-34.5833,150.8552,74.37,95,99,4.0
