City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
437,Inirida,CO,77.76,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
438,Saint-Georges,GD,80.28,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
449,Santa Cruz,BO,76.46,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
453,Kapit,MY,78.22,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
455,Quatre Cocos,MU,78.91,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
459,Labuhan,ID,81.01,scattered clouds,-6.8844,112.2051,DoubleFAG
461,Bireun,ID,78.96,overcast clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
462,Corowa,AU,75.42,clear sky,-36.0333,146.3833,Statesman Motor Inn
463,Punta De Piedra,VE,78.21,few clouds,7.6176,-71.4916,Casa 7 Punta de Piedra
474,Sharjah,AE,80.58,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
479,Tarakan,ID,80.1,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
487,Bengkulu,ID,78.31,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
488,Isangel,VU,86.11,few clouds,-19.55,169.2667,Tanna Lodge
493,Palauig,PH,84.31,overcast clouds,15.435,119.9045,Alperi Botique Resort
496,Talara,PE,75.81,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
498,Callaguip,PH,82.42,broken clouds,18.0714,120.4867,Pangil Beach Resort
500,Kavaratti,IN,82.09,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
502,Wembley,AU,88.0,clear sky,-31.9333,115.8,Cambridge Atrium
514,Potiskum,NG,76.08,few clouds,11.7091,11.0694,Tamir Hotel Ltd
519,Iguatu,BR,76.91,overcast clouds,-6.3594,-39.2986,Havenna Hotel
525,Port-Gentil,GA,81.54,overcast clouds,-0.7193,8.7815,Fengshui Residence
536,Itacare,BR,77.23,scattered clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
538,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
539,Emerald,AU,82.54,overcast clouds,-23.5333,148.1667,The Irish Village
542,Coruripe,BR,78.48,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
543,Yeppoon,AU,82.18,light rain,-23.1333,150.7333,Villa Mar Colina
544,Daoukro,CI,76.48,broken clouds,7.0591,-3.9631,Komenan brou roseline
545,Pitimbu,BR,81.19,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
548,Trincomalee,LK,79.83,overcast clouds,8.5711,81.2335,Welcombe Hotel
550,Makurdi,NG,85.91,few clouds,7.7411,8.5121,Doo Palace Hotel
553,Monrovia,LR,79.48,scattered clouds,6.3005,-10.7969,Sunset Inn
557,Tibu,CO,76.91,broken clouds,8.639,-72.7358,Hotel Yuliana's
558,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
560,Langsa,ID,76.17,overcast clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
571,Lodwar,KE,82.98,few clouds,3.1191,35.5973,Solmar Gracious Hotel
572,Dibulla,CO,78.31,scattered clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
580,Maragogi,BR,79.25,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
589,Sao Jose Da Coroa Grande,BR,79.36,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
598,Guiberoua,CI,77.5,overcast clouds,6.2392,-6.1727,HOTEL LAGOTCHÉ
603,Alofi,NU,84.09,broken clouds,-19.0595,-169.9187,Taloa Heights
605,Cabo Rojo,PR,78.67,clear sky,18.0866,-67.1457,Hotel Perichi's
613,Christchurch,NZ,82.33,scattered clouds,-43.5333,172.6333,The George
616,Santa Rosa,PH,82.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
620,Kulhudhuffushi,MV,82.35,clear sky,6.6221,73.07,Haajy Guest House 1
622,Sao Joao Da Barra,BR,78.89,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
625,Madang,PG,87.06,few clouds,-5.2246,145.7966,Comfort Inn Hotel
629,Kieta,PG,85.69,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
630,San Bernardo,CL,76.05,clear sky,-33.6,-70.7167,Jose antonio gajardo meza
644,Japura,ID,76.08,broken clouds,-0.3167,102.35,Rumah mbah Jamah
652,Pundaguitan,PH,81.99,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
657,Bahia Honda,CU,75.81,few clouds,22.9036,-83.1592,Casa Gualberto - Deysi
667,Ahuimanu,US,85.14,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
671,Bandar-E Lengeh,IR,75.31,scattered clouds,26.5579,54.8807,کافی نت پارس
674,Kombissiri,BF,82.29,scattered clouds,12.0656,-1.3375,Mitibkieta Annexe
679,Batticaloa,LK,78.49,overcast clouds,7.7102,81.6924,Grand Star Guest House
681,Manokwari,ID,82.17,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
