City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
153,Radcliff,US,37.8404,-85.9491,51.04,46,0,0.0,clear sky
154,Mackenzie,CA,55.2999,-123.1698,32.22,37,100,11.5,overcast clouds
155,El Tigre,VE,8.8875,-64.2454,79.54,67,97,13.4,overcast clouds
156,Salalah,OM,17.0151,54.0924,71.67,51,0,1.48,clear sky
157,Kidal,ML,18.4411,1.4078,75.78,14,13,10.31,few clouds
158,Mondlo,ZA,-27.983,30.7177,62.47,94,77,3.18,broken clouds
159,Ushirombo,TZ,-3.4919,31.9639,65.44,92,96,2.66,overcast clouds
160,Nantucket,US,41.2835,-70.0995,39.31,87,0,5.75,clear sky
161,Mahebourg,MU,-20.4081,57.7,79.09,89,40,4.61,scattered clouds
162,Ilulissat,GL,69.2167,-51.1,-11.4,95,77,5.91,broken clouds
163,Agapovka,RU,53.2973,59.1348,2.41,95,100,12.37,overcast clouds
164,Coihaique,CL,-45.5752,-72.0662,57.81,72,40,3.44,scattered clouds
165,Nabire,ID,-3.3667,135.4833,77.99,91,100,2.08,light rain
166,Skibotn,NO,69.3913,20.2679,37.17,95,99,11.48,overcast clouds
167,Seminole,US,28.7086,-81.2081,70.16,93,100,5.75,overcast clouds
168,Hilo,US,19.7297,-155.09,82.13,74,20,13.8,few clouds
169,Paracuru,BR,-3.41,-39.0306,75.11,86,98,8.95,overcast clouds
170,Babushkin,RU,51.7122,105.8647,14.49,93,97,1.5,overcast clouds
171,Enid,US,36.3956,-97.8784,29.88,69,100,21.85,overcast clouds
172,Geraldton,AU,-28.7667,114.6,81.01,36,1,4.61,clear sky
173,Saint-Pierre,RE,-21.3393,55.4781,76.68,78,0,4.61,clear sky
174,Odessa,UA,46.4775,30.7326,22.39,71,98,19.3,overcast clouds
175,Douglas,US,41.3,-96.167,28.27,54,0,5.75,clear sky
176,Bondoukou,CI,8.0333,-2.8,81.07,31,94,5.35,overcast clouds
177,Zhigansk,RU,66.7697,123.3711,-10.28,93,99,3.83,overcast clouds
178,Tessalit,ML,20.1986,1.0114,72.73,18,23,11.86,few clouds
179,San Jose,US,37.3394,-121.895,69.91,19,0,11.5,clear sky
180,Arandis,NA,-22.4167,14.9667,76.62,49,47,2.55,scattered clouds
181,Padang,ID,-0.9492,100.3543,75.25,86,98,3.94,overcast clouds
182,Ulaangom,MN,49.9811,92.0667,14.32,84,98,1.74,overcast clouds
183,Upata,VE,8.0086,-62.3989,73.18,91,90,3.89,overcast clouds
184,Phonhong,LA,18.5007,102.4166,74.95,81,26,2.06,scattered clouds
185,Fukue,JP,32.6881,128.8419,62.96,67,0,9.22,clear sky
186,Coos Bay,US,43.3665,-124.2179,62.31,74,0,12.66,clear sky
187,Tocopilla,CL,-22.092,-70.1979,70.86,81,35,8.79,scattered clouds
188,Gunjur,GM,13.2019,-16.7339,69.87,64,81,8.05,broken clouds
189,Dryden,CA,49.7833,-92.7503,8.89,52,100,12.66,overcast clouds
190,Cabedelo,BR,-6.9811,-34.8339,81.27,73,99,14.36,overcast clouds
191,Sartana,UA,47.1744,37.6927,24.75,70,100,12.1,overcast clouds
192,Berezovyy,RU,51.6667,135.7,20.84,91,100,7.34,light snow
193,Imbituba,BR,-28.24,-48.6703,77.83,95,64,6.13,heavy intensity rain
194,Bulgan,MN,48.8125,103.5347,25.27,72,100,1.57,overcast clouds
195,North Bend,US,43.4065,-124.2243,62.24,74,0,12.66,clear sky
196,Naze,JP,28.3667,129.4833,61.72,65,99,7.76,overcast clouds
197,Ternate,ID,0.8,127.4,82.87,77,84,4.29,broken clouds
198,Dillon,US,34.4166,-79.3712,52.11,83,100,6.08,overcast clouds
199,Leningradskiy,RU,69.3833,178.4167,11.86,78,2,7.52,clear sky
200,Puerto Madryn,AR,-42.7692,-65.0385,58.98,62,53,10.18,broken clouds
201,Roma,US,43.2128,-75.4557,34.88,82,0,5.75,clear sky
